WASP-39b,0.07993371618370476,6.992249245093162e-06,0.07231210090006523,0.1128714944720188,0.08212634084944537,0.038035294559865734,0.11143880214042359
WASP-6b,0.006772365077071469,0.00014767953868975573,0.07840258958609964,0.34201311742557805,0.002875739200960917,0.004027310636864992,0.10277484114727695
HD 189733b,0.004529601131889943,0.00010946030986994096,0.07012319941562932,0.32899410556331116,0.005079445674345227,0.0033332871689045283,0.08761887891659748
Sim2,0.0021140241394914613,6.215077420330215e-05,0.07060492512059302,0.13932449755632276,0.0010663105085087347,0.0025572949625809263,0.06612246499131158
HAT-P-1b,0.04223566325913642,2.056190880285715e-05,0.07175878333713172,0.1395117928558428,0.060409181379519,0.01586062677058334,0.11068675609172296
Sim4,0.12336877352967357,8.751747588866312e-06,0.057790010869749706,0.2739880956789284,0.10601123879935495,0.05228268484961804,0.09546746627926833
Sim3,0.04545660602194236,1.474308146378161e-05,0.0780816196218071,0.10532164018165083,0.07192914189468505,0.02016357690113877,0.0979200777585825
Sim1,0.007228181523077767,0.00014241832143205163,0.07718155477729252,0.32100286432133496,0.004642489157871954,0.0022470454474158583,0.15971597303994894
HAT-P-12b,0.004869283314794977,0.00012065752266002976,0.07135406664929801,0.3026080627182267,0.004696415902796992,0.003436055010713637,0.1015470202534658
HD 209458b,0.10130597138511832,0.0008838381972022717,0.07368281767524584,0.19343827425275895,0.12096989546380463,0.10793091626661133,0.0884492112844331
