Name,V,R,I,J,H,K,Ks
Ceres_Lundock081125,26.99381856,24.36678451,22.15090902,19.5329736,19.22973528,18.93217411,18.95967074
Moon_Lundock081121Luna1,9.251541678,6.310001502,4.018696883,1.146385523,0.603084831,0.72832609,0.78338259
Earth_Lundock081121,16.13754509,13.70491432,11.56654787,8.672318153,8.329863466,8.142863569,8.209953013
Mercury_Mallama2017,19.99168783,17.35374302,15.32613735,11.95837602,11.44353988,11.04365423,11.08980363
Io_Fanale1974,24.25904118,21.57024349,19.66624197,16.20853579,15.58103378,15.13384315,15.18506688
Mars_McCord1971,19.84433626,16.62500025,14.40964422,11.50950253,11.12491847,10.82876122,10.89510247
Dione_Lundock080505,29.01824534,26.50722934,24.35462748,21.82709626,22.01425052,21.96716893,22.04022183
Rhea_Lundock081125,28.47155254,25.78161511,23.6308514,20.91102624,21.09520196,22.12476526,22.18314112
Callisto_Spencer1999leading,25.47055525,22.66656487,20.31295538,17.31308928,16.99179522,16.85085302,16.88240995
Europa_Spencer1999trailing,23.82496149,21.77610287,19.64208061,16.74781169,16.99089649,17.71733747,17.71950599
Ganymede_Spencer1999leading,24.20006027,21.02980543,18.97984103,16.31304602,16.27688759,16.28289209,16.33927327
Enceladus_VIMS,23.00023802,20.2529963,18.20723044,15.35812901,15.2972937,15.14501508,15.25245995
Pluto_LorenziProtopapa,25.39835143,22.44871064,20.33094589,17.60939739,17.28313274,17.27172388,17.16519699
Jupiter_Lundock080507,16.17855341,13.58856852,11.53834828,9.719499662,9.660786158,11.02260591,10.97616977
Saturn_Lundock080505withRing,19.60017084,17.18151702,15.21856251,12.8100031,12.37785805,14.94847731,14.68762687
Saturn_Lundock081119NPole,19.67742422,16.87012534,14.80791288,12.49346438,12.0937058,14.36180816,13.91122397
Saturn_Lundock081119withRing,19.70557013,16.93737272,14.8751492,12.59643654,12.22815751,14.40506854,13.98895768
Saturn_Lundock081122withRing,19.80199917,17.22123568,15.17843284,12.89431601,12.80090554,14.49562216,14.11698146
Neptune_Lundock080507,26.63381297,24.79524651,23.10992454,21.46453564,21.43814209,21.74763315,23.01842834
Neptune_Lundock081120,26.69412103,24.98272945,23.24398344,22.54320149,22.385084,25.38684929,25.08131006
Neptune_Lundock081125,26.67953875,24.96620518,23.25451176,22.05955064,21.85169923,23.7471486,23.4265041
Neptune_Lundock081126,26.61067129,24.73885225,23.02349044,20.95643117,20.82838951,22.26144838,22.1503291
Uranus_Lundock080511,24.66803858,23.01912435,21.51656402,20.76486412,20.59941053,23.93102822,23.7913707
Uranus_Lundock081120,24.57219776,22.83455629,21.14428975,20.58269326,20.49679442,25.28922508,24.98954963
Titan_Lundock080505,26.91600038,24.31568273,22.273527,20.38538481,21.02253534,21.86517982,21.52501748
Titan_Lundock080506,26.80569158,23.81067677,21.64374952,19.52432519,19.61934018,20.18940005,19.86653054
Titan_Lundock081124,27.07031979,24.28522839,22.23716007,20.28014019,20.44669561,22.86497145,22.72202848
Venus_MeadowsSpencer,14.7031609,12.09802931,10.05237792,7.331309309,7.076381096,7.357605456,7.486029448
